timeframe,time,open,high,low,close,volume
1W,2012-10-07T00:00:00,34.375,35.041,34.375,34.515999,161.0
1W,2012-10-14T00:00:00,33.880001,34.073002,33.625,33.632999,317.0
1W,2012-10-21T00:00:00,32.57,33.200001,32.040001,32.073002,69.0
1W,2012-10-28T00:00:00,32.150002,32.305,31.594999,32.011002,62.0
1W,2012-11-04T00:00:00,32.189999,32.470001,30.834999,30.834999,16.0
1W,2012-11-11T00:00:00,30.785,32.665001,30.785,32.59,101.0
1W,2012-11-18T00:00:00,32.513,32.870998,32.195,32.361,17.0
1W,2012-11-25T00:00:00,33.181,34.111,32.923,34.111,5.0
1W,2012-12-02T00:00:00,34.005001,34.395,33.139999,33.203999,108156.0
1W,2012-12-09T00:00:00,33.5,33.849998,32.529999,33.053001,1691.0
1W,2012-12-16T00:00:00,33.139999,33.707001,32.223,32.223,2295.0
1W,2012-12-23T00:00:00,32.290001,32.459999,29.612,30.142,1518.0
1W,2012-12-30T00:00:00,30.084999,30.205,29.839001,29.92,732.0
1W,2013-01-06T00:00:00,30.09,31.084999,29.209999,29.896,169.0
1W,2013-01-13T00:00:00,30.395,30.875,29.91,30.367001,325.0
1W,2013-01-20T00:00:00,30.620001,32.060001,30.620001,31.902,138.0
1W,2013-01-27T00:00:00,31.834999,32.409,31.18,31.18,18.0
1W,2013-02-03T00:00:00,31.0,32.259998,30.756001,31.941999,136.0
1W,2013-02-10T00:00:00,31.705,32.02,31.344999,31.424999,88.0
1W,2013-02-17T00:00:00,31.16,31.174999,29.77,29.839001,270.0
1W,2013-02-24T00:00:00,30.040001,30.045,28.315001,28.455999,70.0
1W,2013-03-03T00:00:00,28.975,29.389999,27.959999,28.451,98557.0
1W,2013-03-10T00:00:00,28.635,29.190001,28.35,28.909,985.0
1W,2013-03-17T00:00:00,28.860001,29.290001,28.57,28.816999,343.0
1W,2013-03-24T00:00:00,28.815001,29.190001,28.424999,28.666,645.0
1W,2013-03-31T00:00:00,28.459999,28.785,28.120001,28.292,361.0
